Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Baima Griga Dr. Fausto,Dentist,,011 943 4628,"C.so Vittorio Emanuele II, 55",Andezeno,,,,,,,,,,,
A.D. Dental,Dental laboratory,,0123 346909,"Via Valle Sea, 4",Balangero,,,,,,,,,,,
Studio Dentistico Mangiapane,Dentist,,011 935 9585,"Via Malatrait, 6",Almese,,,,,,,,,,,
DOTT.RI FORNENGO,Dentist,,011 967 4912,"Via S. Firmino, 31",Balangero,,,,,,,,,,,
Studio Odontoiatrico Perazzolo Mauro,Dentist,,0125 651336,"Via Ivrea, 75 B",Montalto Dora,,,,,,,,,,,
Studio Dentistico Sullo,Dentist,,011 946 2391,"Via Borgo Valentino, 28",Arignano,,,,,,,,,,,
Violetta Roberto,Dentist,,0125 750270,"Viale Dante Alighieri, 4",Quassolo,,,,,,,,,,,
Studio Dentistico Gabriele Savoini,Dentist,http://www.studiodentisticosavoini.it/,011 946 9117,"Via Sant'Antonino, 18",Riva presso Chieri,,studiosavoini.riva@gmail.com,https,WordPress,Sì,Netsons,60,80,100.00,Yes,No
Ce.Me.D.Centro Medico Dentistico Sas,Dentist,,011 935 2593,"Via Roma, 40",Almese,,,,,,,,,,,
Studio Odontoiatrico Dott Paolo Gilardini,Dentist,,0125 641247,"Corso Massimo D'Azeglio, 38",Ivrea,,,,,,,,,,,
Bermond Des Ambrois Alessandro,Dentist,https://www.studiobermondivrea.it/,345 020 3308,"Via Guglielmo Jervis, 22A",Ivrea,,,https,Errore: HTML e intestazioni non disponibili,,ABDns-Hosting,52,79,58.00,No - Errore di connessione,
Clappier Dr. Rosalina,Dentist,,0125 751357,"Via S. Marco, 11",Borgofranco d'Ivrea,,,,,,,,,,,
Siciliano Salvatore,Family practice physician,,0125 790188,"Via Aosta, 23",Andrate,,,,,,,,,,,
Studio Dentistico Escalona,Dentist,,0125 48522,"Via Aosta, 6",Ivrea,,,,,,,,,,,
Studio Dentistico Dott.ssa Marchesi Alessandra,Dentist,https://www.alessandramarchesi.it/,0125 281421,"Via Circonvallazione, 56/F",Ivrea,,info@alessandramarchesi.it,https,WordPress,Sì,Aruba-DNS,57,87,100.00,Yes,No
