Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Studio Tecnico geom. Riccardo Longo,Land surveyor,,333 161 1350,"Via Sant'Anna, 60",Vernole,,,,,,,,,,,
Matteo Paolino,Surveyor,,0836 515323,"Via Aradeo, 11",Cutrofiano,,,,,,,,,,,
Studio Geologico Ligori,Surveyor,,0836 515344,"Via Martiri D'Otranto, 28",Cutrofiano,,,,,,,,,,,
Proietti Luca,Surveyor,,0833 509785,"Vico S. Salvatore, 2",Parabita,,,,,,,,,,,
Geom. De Paola Fabio_AD Studio Tecnico,Surveyor,,320 447 5941,"Via Angela de Donno, 7",Casarano,,,,,,,,,,,
Studio Tecnico Ing. Franco Claudio,Engineer,,0832 968826,"Via Leverano, 7",Veglie,,,,,,,,,,,
Geometra Vito Antonio Iacovelli - Studio Tecnico a Monteroni di Lecce,Surveyor,,347 660 9453,Piazzetta Romano,Monteroni di Lecce,,,,,,,,,,,
Geometra Giuseppe URSO - Studio Tecnico,Land surveyor,,0836 920691,Via Nazionale,Vignacastrisi,,,,,,,,,,,
Studio Tecnico Antonio Margari,Surveyor,,347 446 0737,"Via XX Settembre, 6",Melissano,,,,,,,,,,,
STUDIO DI PROGETTAZIONE Geom. Francesco Panìco,Land surveyor,,0833 546090,Piazza Castello dei Trane RIONE,Tutino,,,,,,,,,,,
studio tecnico geometra Claudio Paiano,Surveyor,,320 958 6813,"di, Via Giosuè Carducci, 5",Vignacastrisi,,,,,,,,,,,
Studio Tecnico CARACCIOLO,Surveyor,,0832 347627,"Via Bellinzona, 7",Lecce,,,,,,,,,,,
Montefusco Geom. Guido,Surveyor,,0832 601077,"Via Immacolata, 25",Carmiano,,,,,,,,,,,
Studio Tecnico Geometra Gianluca Gaballo,Land surveyor,,328 292 9946,"Via Gregorio Messere, 18",Lecce,,,,,,,,,,,
Studio Tecnico Citto geom. Ippazio Antonio,Land surveyor,,0833 183 1853,"Via Giuseppe Maria Tedeschi, 33",Tricase,,,,,,,,,,,
Studio Tecnico Geom. Stefano Litti,Land surveyor,,389 194 3385,"Via Filippo Brunelleschi, 15",Lequile,,,,,,,,,,,
Studio Tecnico Geometra Lia Adelaide,Surveyor,,0833 727415,"Corso Italia, 25",Presicce-Acquarica,,,,,,,,,,,
Geom Salvatore Litti,Surveyor,,0832 263184,"Largo Consolazione, 4",Lequile,,,,,,,,,,,
Geom Accogli Valerio,Surveyor,,349 778 3700,"via lorenzo bernini, 22",Andrano,,,,,,,,,,,
Studio Tecnico Accoto - Geom. Roberto Accoto,Land surveyor,,389 976 8918,"Via Tripoli, 37/c",Muro Leccese,,,,,,,,,,,
Lazzari Geom. Luigi,Surveyor,,0836 992284,"Via Trento, 4",San Cassiano,,,,,,,,,,,
Studio Tecnico geometra Giuseppe Minonne,Surveyor,http://www.geometraminonne.it/,392 814 7939,"Via Taranto, 21",San Pietro Vernotico,,,http,ASP.NET,No,Aruba-DNS,97,100,82.00,Yes,No
Studio Tecnico Geometra Alberto Antonaci,Land surveyor,https://www.albertoantonaci.it/,329 447 7002,"Via S. Giovanni Bosco, 9",Calimera,,alberto.ant@libero.it,https,Altro,No,Register.it-Hosting,61,73,92.00,No - Errore 403,No
Deianira Negro,Land surveyor,,335 649 1393,"Via Umberto I, 111",Salice Salentino,,,,,,,,,,,
Studio Di Progettazione Ing. Roberto Ciriolo,Engineer,,320 361 3077,"Via Fratelli Bandiera, 35",Castro,,,,,,,,,,,
Studio Tecnico Geometra Cristian Errico,Surveyor,,320 052 1202,"Via Antonio Rosario Miglietta 109, 73020 Lecce",Cavallino,,,,,,,,,,,
Ingegnere Iunior Luca Verdesca,Civil engineer,,0832 949307,Via Magna Grecia,Copertino,,,,,,,,,,,
Studio tecnico geom. MARANGIONE Antonio,Land surveyor,,328 466 5249,"Via Maria Paladini, 126",Campi Salentina,,,,,,,,,,,
Monaco Geom. Donato,Surveyor,,0833 762608,"Via Silvio Pellico, 73",Montesano Salentino,,,,,,,,,,,
Geom. Mauro Lamanuzzi,Surveyor,,0833 564944,"Piazza Umberto I, 5",Nardò,,,,,,,,,,,
Giancane Ing. Fausto,Surveyor,,0832 458306,"Via Cataldo Antonio Mannarino, 11",Lecce,,,,,,,,,,,
Studio Tecnico Molendini Oreste,Surveyor,,0832 348653,"Via Nizza, 9",Lecce,,,,,,,,,,,
Mannarini Geom. Giuseppe,Land surveyor,,0832 398484,"n°, Via G.Argento, 45",Lecce,,,,,,,,,,,
Paladini Geom. Domenico - Studio Tecnico,Surveyor,,0832 602576,"Via Roma, 115",Carmiano,,,,,,,,,,,
Studio Tecnico Geometra Giuseppe Rizzo,Land surveyor,,348 813 4062,"Via Trieste, 23",Surano,,,,,,,,,,,
Geometra Antonio Fasano,Land surveyor,,320 693 9283,"Via Francesco Rubichi, 10",Surbo,,,,,,,,,,,
Geometra Pierangelo Rollo,Land surveyor,,393 236 7446,Via Lecce,Merine,,,,,,,,,,,
Studio Tecnico Arnesano,Surveyor,,0832 731653,"Via Umberto I, 34",Salice Salentino,,,,,,,,,,,
Perrino Pompilio,Surveyor,,0832 796952,"Via Fratelli Cairoli, 111",Campi Salentina,,,,,,,,,,,
GEOMETRA DIEGO DE TOMMASI,Surveyor,,349 378 1425,"Piazza Mazzini Giuseppe, 72",Lecce,,,,,,,,,,,
