Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Studio Odontoiatrico Dott. Manuela Baccini Dott. Paolo Calamai,Dentista,,0543 030378,"Via Guglielmo Marconi, 20",San Piero In Bagno,,,,,,,,,,,
Dental Center Mambelli,Clinica dentale,,0543 903213,"Via Garibaldi, 31",San Piero In Bagno,,,,,,,,,,,
Studio Dentistico Dott. Antonelli Atos Antonio,Dentista,,059 904369,"Via Giacomo Matteotti, 1B",Bastiglia,,,,,,,,,,,
Iori Dr. Paolo - Dottore in Odontoiatria e Protesi Dentaria ; Albo Odontoiatri n. 231 /OdMCeO BO,Dentista,,0534 22244,"Via Mazzini, 10",Porretta Terme,,,,,,,,,,,
Dott.ssa Fioresi Nadia,Dentista,,0534 51343,"Piazza Monsignor Augusto Smeraldi, 6",Porretta Terme,,,,,,,,,,,
Zanni Dott.Ssa Barbara,Dentista,,0534 24250,"Via Roma, 36",Porretta Terme,,,,,,,,,,,
Capitani Dr. Ettore,Dentista,,0534 22066,"Piazza della Libertà, 71",Porretta Terme,,,,,,,,,,,
Mancini Mario,Dentista,,0522 599430,"Via Palmiro Togliatti, 1",Albinea,,,,,,,,,,,
Dott.Marco Lolli,Dentista,,0534 30231,"Via Giovanni XXIII, 6",Silla,,,,,,,,,,,
Belli Dr. Raffaella,Dentista,,0545 63600,"Via Cesare Ercolani, 9",Bagnacavallo,,,,,,,,,,,
Studio Dentistico Dottor Piero Arrigoni,Dentista,https://studioarrigonipiero.it/,0522 889089,"Via Taddei, 1",Puianello,,info@studioarrigonipiero.it,https,WordPress,Sì,Hetzner Online GmbH,62,71,100.00,Sì,No
Studio Dentistico Dott. Fabrizio Fabbri,Dentista,,0543 911398,"Via Giosuè Carducci, 19",San Piero In Bagno,,,,,,,,,,,
