Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Geom. Panaggio Antonio,Geometra,,320 574 8937,"Via Cairoli, 118",Celenza Valfortore,,,,,,,,,,,
GEOMETRA LUIGI MONTINGELLI,Geometra,,0885 427973,"Via Sette Fratelli Cervi, 21",Cerignola,,,,,,,,,,,
Geom. Luigi Dipasquale,Geometra,,0885 326688,"Via Perugia, 6",Cerignola,,,,,,,,,,,
Andriotta Rocco,Geometra,,0885 422862,"Corso Antonio Gramsci, 34",Cerignola,,,,,,,,,,,
Studio Tecnico Fradusco Di Fradusco Ing . Michele,Geometra,,0885 420314,"Via Giovanni Falcone, 8",Cerignola,,,,,,,,,,,
Ing. Vitullo Francescopaolo,Ingegnere,,0885 428398,"Viale di Levante, 139",Cerignola,,,,,,,,,,,
Patrizia dimmito,Geometra,,393 871 5463,"Via Don Minzoni, 14",Cerignola,,,,,,,,,,,
Studio Tecnico: Extrend,Geometra,,346 178 6951,"Via Pigna, 1/H",Cerignola,,,,,,,,,,,
Tocco Pasquale,Geometra,,0881 967298,"Largo Papa Giovanni XXIII, n. 1",Deliceto,,,,,,,,,,,
Studio Tecnico Associato Paciello,Ingegnere,,0881 981070,"Via Caporale Bonito Antonio, 71",Accadia,,,,,,,,,,,
Studio Tecnico geom. Francesco Di Modugno,Geometra,,0883 622729,"Via Sapienza, 66",San Ferdinando di Puglia,,,,,,,,,,,
Studio Tecnico Geom. F.sco Paolo Botticelli,Geometra,,0881 966510,"Corso Vittorio Emanuele, 36",Bovino,,,,,,,,,,,
Studio Tecnico Geometri di MARIA,Geometra,,0885 651110,"Via Alessandro Manzoni, 3",Ascoli Satriano,,,,,,,,,,,
Nigro Antonio Studio Di Archittetura,Architetto,,0881 981920,"Via Borgo, 163",Accadia,,,,,,,,,,,
Terenzio Luigi,Geometra,,0885 426658,"Via Giovanni Falcone, 40",Cerignola,,,,,,,,,,,
Geom. Giuseppe De Meo,Geometra,,338 875 7552,"Via Sabotino, 9",Candela,,,,,,,,,,,
Studio Tecnico Geometra Nicola Barbaro,Geometra,,348 688 5018,"Via Alessandro Sabatini, 50",Lucera,,,,,,,,,,,
Studio Tecnico geom. Baldassarre,Geometra,,328 550 5843,"Via S. Severo, 30",Lucera,,,,,,,,,,,
Ing. DIPACE Raffaele,Consulente ingegneristico,,0885 426423,"Via Barletta, 15",Cerignola,,,,,,,,,,,
Comune di Castelluccio Valmaggiore,Municipio,,0881 972015,Piazza Marconi,Castelluccio Valmaggiore,,,,,,,,,,,
Iannelli Geom. Gennaro,Geometra,,0881 591934,"Via Fuori Porta Garofalo, 13",Biccari,,,,,,,,,,,
Geom. Natale Vescera,Geometra,,327 299 0934,"Via Francesco Marinaccio, 46",Foggia,,,,,,,,,,,
Santoro Savino,Geometra,,0885 417354,"Via Campania, 7",Cerignola,,,,,,,,,,,
Geom. Lucera Cesare,Geometra,,347 126 7883,"Via San Marco, 20",Biccari,,,,,,,,,,,
Studio Tecnico Associato Geo 3 Project,Geometra,,0881 592204,"Alberona Via Monte Stilo, n. 10 Sede Operativa Lucera Via Fiorelli, n. 4_Sede Legale",Alberona,,,,,,,,,,,
Geom. Agostino Manzi,Geometra,,349 365 1001,"III, 1° Traversa Via Calcare",Biccari,,,,,,,,,,,
GEOMETRA DE TROIA COSIMO E GIOVANNI,Geometra,http://www.ricomsrl.com/,0881 202889,"Viale Avv. Vincenzo Scarano, 59",Lucera,,info@ricomsrl.com,http,React,No,Aruba S.p.A,88,99,91.00,Sì,No
Ingegneri Marinaro Associati,Ufficio aziendale,https://www.ingegneriamarinaro.it/,0885 429666,"Viale Russia, 18",Cerignola,,studioima@libero.it,https,WordPress,No,Aruba S.p.A. Network,63,71,82.00,Sì,No
Studio tecnico Geom. Nicola Marrone,Geometra,,339 413 7377,"Via Padre Pio, 13/C",Fragneto l'Abate,,,,,,,,,,,
