Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Carapelle Alberto,Notaio pubblico,,0572 33292,"Corso Indipendenza, 51",Borgo A Buggiano,,,,,,,,,,,
Notaio Carretta Maria - Studio Notarile,Notaio pubblico,,0972 723640,"Via Brindisi, 2",Rionero in Vulture,,,,,,,,,,,
NOTAIO ITALIA MARIA PELLINO,Notaio pubblico,,0881 981200,"Via Caporale Bonito Antonio, 71/A",Accadia,,,,,,,,,,,
Notaio Matteo Rotunno,Notaio pubblico,,0882 305215,"Via XX Settembre, 5",San Severo,,,,,,,,,,,
Notaio Donato Caroprese,Notaio pubblico,,0881 520999,"Via Luigi Zuppetta, 32",Lucera,,,,,,,,,,,
Notaio Marco Di Loreto,Notaio pubblico,,0874 744066,"del Sole, 14",Santa Croce di Magliano,,,,,,,,,,,
Di Ruberto Notaio Antonella,Notaio pubblico,,0881 331499,"Corso Roma, 204",Foggia,,,,,,,,,,,
Fontana Dr. Notaio Mikela,Notaio pubblico,,0881 540032,"Via dei Saraceni, 6",Lucera,,,,,,,,,,,
Calderisi Clorinda Concetta C.,Notaio pubblico,,0881 772545,"Via Luigi Miranda, 6",Foggia,,,,,,,,,,,
Studio Notarile Manna Margherita,Notaio pubblico,,0825 873179,"Via Pietro Paolo Parzanese, 9",Ariano Irpino,,,,,,,,,,,
Studio Notarile di Trinastich Daniela,Notaio pubblico,,0881 727292,"Via Trieste, 10",Foggia,,,,,,,,,,,
Notaio Amato Rizzi,Notaio pubblico,,0827 41767,Vico Stallone,Guardia Lombardi,,,,,,,,,,,
Notaio Placa Dott.ssa Alessia,Notaio pubblico,,0882 642364,"Piazzale Andrea Costa, 5",Apricena,,,,,,,,,,,
Di Caprio Onofrio,Notaio pubblico,,0825 872294,Via XXV Aprile,Ariano Irpino,,,,,,,,,,,
Di Biase Dr. Renato,Notaio pubblico,,0882 382438,"Via Don Giovanni Minzoni, 1",Torremaggiore,,,,,,,,,,,
Stasi Enrico Maria,Notaio pubblico,,0827 64444,"Via Giuseppe Passaro, 72",Nusco,,,,,,,,,,,
Notaio Rotunno Matteo,Notaio pubblico,,0881 316665,"Corso Vittorio Emanuele II, 22",Foggia,,,,,,,,,,,
Di Taranto Francesco Notaio,Notaio pubblico,,0881 664736,"Via Grecia, 28",Foggia,,,,,,,,,,,
Federico di Biase - notaio,Notaio pubblico,,0882 422627,"Corso Umberto I° di Savoia, 4/C",Lesina,,,,,,,,,,,
Studio Notarile Associato Scrocco Orfina - Lembo Annamaria Benincaso Amelia Anna,Notaio pubblico,,0881 520824,"Piazza Giacomo Matteotti, 7",Lucera,,,,,,,,,,,
Vassalli Dr. Gustavo,Notaio pubblico,,0881 966445,"Viale Giuseppe di Vittorio, 9",Bovino,,,,,,,,,,,
ROCCO CIMMINO NOTAIO,Notaio pubblico,http://www.studionotaiocimmino.it/,0972 727797,"Corso Garibaldi, 27",Melfi,,info@studionotaiocimmino.it,https,ASP.NET,No,Aruba S.p.A. Network,61,97,82.00,Sì,No
Notaio Caputo Felice,Notaio pubblico,,0881 709291,"Via Zuretti, 11",Foggia,,,,,,,,,,,
Follieri Dr. Luciano Mattia,Notaio pubblico,,0881 522860,"Palazzo Follieri, Via S. Domenico, 105",Lucera,,,,,,,,,,,
Cassano Lorenzo,Notaio pubblico,,0882 331482,"Via Filippo D'Alfonso, 35",San Severo,,,,,,,,,,,
Studio Notarile Associato Malatesta Laurini,Notaio pubblico,,081 742 8025,"Via Roma, 72",Morcone,,,,,,,,,,,
Follieri Luciano Mattia,Notaio pubblico,,0882 642056,"Via Fratelli Rosselli, 66",Apricena,,,,,,,,,,,
Studio Notarile Ass.To Notai Filippo E Antonio Rizzo Corallo,Notaio pubblico,,0882 459763,"Corso Nazionale, 115",San Giovanni Rotondo,,,,,,,,,,,
Foggia Maria Rosaria,Notaio pubblico,,081 816 4686,"Via Vaticale, 99",Casal di Principe,,,,,,,,,,,
Cestone Vincenzina,Notaio pubblico,https://notaiocestone.it/,0972 238186,"Via Foggia, 5",Melfi,,,https,ASP.NET,Sì,"Amazon.com, Inc.",47,84,83.00,Sì,No
Notaio Remigia Lasalvia,Notaio pubblico,,0836 211055,"Piazzale Unità D'Italia, 3",Cutrofiano,,,,,,,,,,,
De Nunzio Andreina,Notaio pubblico,,0833 860017,"Piazza S. Antonio, 9",Galatone,,,,,,,,,,,
Studio Notarile Calice ad Orta Nova (fg),Notaio pubblico,http://www.notaiocalice.it/,0885 787444,"Via XXV Aprile, 4",Orta Nova,,notaiocalice@notariato.it,https,React,Sì,Genesys Informatica S.r.l,47,60,100.00,Sì,No
Di Taranto Francesco,Notaio pubblico,,0884 88686,"Via Dante Alighieri, 32",Cagnano Varano,,,,,,,,,,,
Notaio Rizzo Corallo Antonio,Notaio pubblico,,0881 722250,"Corso Vittorio Emanuele II, 28",Foggia,,,,,,,,,,,
Studio Notarile Angelo Capuano,Notaio pubblico,,0883 252468,"Via Muzio Scevola, n. 15/A",Canosa di Puglia,,,,,,,,,,,
Notaio Raffaele Viggiano,Notaio pubblico,,0831 152 2021,"Via Giovanni Tarantini, 52",Brindisi,,,,,,,,,,,
