Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Antonacci Matteo,Salone da parrucchiere,,328 342 1621,"Via Mazzini, 53",Carpino,,,,,,,,,,,
CUTAIO BARBER ROOM,Salone da parrucchiere,,340 725 5975,"Via Fabio Filzi, 59",Casalvecchio di Puglia,,,,,,,,,,,
Art Fusion Parrucchieri,Salone da parrucchiere,,345 846 5079,"Via Montegrappa, 85",Cagnano Varano,,,,,,,,,,,
ANNA BICCARI HAIR & MAKE UP di Biccari Carmela,Salone da parrucchiere,,349 641 7809,"Via Callisto Azzariti, 4",Foggia,,,,,,,,,,,
Glamhair Parrucchieri,Salone da parrucchiere,,0884 536844,"Corso Roma, 153",Manfredonia,,,,,,,,,,,
Lunà Parrucchieri,Parrucchiere,,0884 662663,"Via Scaloria, 147",Manfredonia,,,,,,,,,,,
Facenna Giuseppe,Barbiere,,0884 900127,"Corso Vittorio Emanuele, 5",Carpino,,,,,,,,,,,
Biccari Nino,Salone da parrucchiere,,0881 632951,"Viale Ofanto, 226",Foggia,,,,,,,,,,,
Acconciature Venere Di Dota Rosanna,Salone da parrucchiere,,0881 553282,"Corso Giuseppe Garibaldi, 10",Casalvecchio di Puglia,,,,,,,,,,,
Hair Styling Mario di Vignali Mario,Salone da parrucchiere,,0881 553422,"Vico III Chiesa Matrice, 3",Casalvecchio di Puglia,,,,,,,,,,,
Midart Parrucchiera di Michela e Daniela,Salone da parrucchiere,,0884 536674,"Via Galileo Galilei, 107",Manfredonia,,,,,,,,,,,
Veronica by Lauriola Parrucchieri,Salone da parrucchiere,,0884 514080,"Via Luigi Allegato, 108",Manfredonia,,,,,,,,,,,
LN Parrucchieri,Parrucchiere,,0884 090202,"Via S. Lorenzo, 161",Manfredonia,,,,,,,,,,,
ChriLù parrucchieri,Salone da parrucchiere,,0884 599115,"Via Martiri di Cefalonia, 61A/B",Manfredonia,,,,,,,,,,,
L’Angolo della Venere di Domenica Di Nunzio e Anna Di Nunzio,Centro salute e bellezza,,0884 900067,"Via S. Cirillo, 68",Carpino,,,,,,,,,,,
MY ART - Silvana Armillotta,Salone da parrucchiere,,0884 588406,"Via delle Antiche Mura, 111",Manfredonia,,,,,,,,,,,
Iaconeta Group Parrucchiere,Parrucchiere,,0884 512008,"Viale Aldo Moro, 57",Manfredonia,,,,,,,,,,,
Parrucchiere Nicola Prota,Parrucchiere,,0884 661481,"Viale Aldo Moro, 1",Manfredonia,,,,,,,,,,,
RT HAIR LAB,Parrucchiere,,388 829 6195,"Via Antonio Gramsci, 15",Manfredonia,,,,,,,,,,,
Artuso Pasquale,Salone da parrucchiere,,0884 530227,"Viale Giuseppe di Vittorio, 69",Manfredonia,,,,,,,,,,,
Balzano Hair Creative,Parrucchiere,,0884 588247,"corso, Corso Roma, 125",Manfredonia,,,,,,,,,,,
New Style Acconciature,Salone da parrucchiere,,0884 660256,"Via della Croce, 1/G",Manfredonia,,,,,,,,,,,
Pietro Le Noci,Salone da parrucchiere,,0884 277357,"Vico Alessandro Delli Santi, 99P",Manfredonia,,,,,,,,,,,
Le Noci Parrucchieri unisex,Parrucchiere,,0884 661745,"Corso Roma, 179/181",Manfredonia,,,,,,,,,,,
Malliá hair studio,Parrucchiere,,351 357 8021,"Via delle Antiche Mura, 124",Manfredonia,,,,,,,,,,,
Poliambulatorio e Guarda Medica Alberona - ASL FG - DSS 58 Lucera,Servizi medici locali,,0881 592449,"Via Mancini, 1",Alberona,,,,,,,,,,,
Nuova Immagine by Pina,Salone da parrucchiere,,339 835 1421,"C.so Garibaldi, 41, Via Foria, 32",Orta Nova,,,,,,,,,,,
Guardia Medica Alberona,Medico di pronto soccorso,,0882 200963,"Via Mancini, 1",Alberona,,,,,,,,,,,
Serapione Tommaso,Medico,,0881 592440,"Via Mancini, 50",Alberona,,,,,,,,,,,
Future Acconciature Hair & Beauty di Razionale,Salone da parrucchiere,,346 085 3246,"Via P. Giannone, 7",Apricena,,,,,,,,,,,
Parrucchiere Adriano,Salone da parrucchiere,,349 451 1962,Via Cesare Battisti,Apricena,,,,,,,,,,,
