Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
Geom Accogli Valerio,Geometra,,349 778 3700,"via lorenzo bernini, 22",Andrano,,,,,,,,,,,
Pratiche Auto & Fiscali di Graziana Accogli,Ufficio patenti,,320 315 9667,"Via Provinciale per Tricase, 72",Andrano,,,,,,,,,,,
Dott. Piero Guercia - Studio Amministrazioni Condominiali Lecce,Servizio di amministrazione immobiliare,,0832 354561,"Via Salvatore Nahi, 3",Lecce,,,,,,,,,,,
Studio Carella Lorenzo,Servizio di amministrazione immobiliare,,0836 427123,"Via Indipendenza, 43",Maglie,,,,,,,,,,,
Studio Commercialista Dr. Antonio Specchia - Amministratore Condominio,Commercialista,,339 406 7721,"Via Giuseppe Mazzini 4 - Fraz, Via Giuseppe Mazzini, 4",Casamassella,,,,,,,,,,,
Dott. Domenico Polimeno Amministratore Condominiale,Servizio di amministrazione immobiliare,,349 087 4074,"Via XXV Aprile, 25",Cutrofiano,,,,,,,,,,,
STUDIO FASANO ALESSIO AMMINISTRAZIONI CONDOMINIALI,Servizio di amministrazione immobiliare,,329 714 3231,"Via G. D'Annunzio, 14",Lecce,,,,,,,,,,,
Accoto Retucci Giuseppina,Tabaccheria,,0836 969186,"Via Roma, 12",Andrano,,,,,,,,,,,
De Donno Dr. Roberto,Servizio di amministrazione immobiliare,,0836 424697,"Via Sant' Antonio Abate, 45",Maglie,,,,,,,,,,,
Studio Stefano Carata,Condominio,,0832 186 0499,"o Centro Commerciale Lo Spazio, Via Marco Biagi, 26 c",Lecce,,,,,,,,,,,
Studio Pascali - Amministrazione condominiale,Condominio,,320 260 8703,"Via Antonio Gramsci, 19",Calimera,,,,,,,,,,,
Amministratore Condominiale De Leo Alessandra,Servizio di amministrazione immobiliare,,393 170 7876,"Via Alessandro Volta, 1",Castromediano,,,,,,,,,,,
Amministratore Condominiale De Carlo Fabio,Servizio di amministrazione immobiliare,,340 625 5935,"Via B. Croce, 23",Lecce,,,,,,,,,,,
Interno 27 Amministrazioni Condominiali di Alessandro De Giovanni,Servizio di amministrazione immobiliare,https://studiointerno27.com/,0832 157 0007,"Via Frà Nicolò da Lequile, 3",Lecce,,interno27amministrazioni@gmail.com,https,WordPress,No,Google LLC,74,98,85.00,Sì,No
Stefania Rosato Gestioni Condominiali,Servizio di amministrazione immobiliare,,320 707 1132,"Via Frà Nicolò da Lequile, 3",Lecce,,,,,,,,,,,
Amministratore Condominio Lecce Salentocondomini Grassi amm.ni Trasparenti w,Servizio di amministrazione immobiliare,https://www.salentocondomini.it/,393 222 5384,"Viale Oronzo Quarta, 17",Lecce,,amministratore@salentocondomini.it,https,WordPress,No,Aruba S.p.A. Network,61,68,100.00,Sì,No
MONACO & PARTNERS - Amministratori Condominiali Immobiliari,Servizio di amministrazione immobiliare,https://www.monacoandpartners.eu/,371 695 6574,Via Fratelli Cervi,San Pietro in Lama,,info@monacoandpartners.eu,https,React,Sì,Google LLC,73,92,100.00,Sì,No
Studio City Home srls (group URSO) - Amministrazioni Condominiali e servizi immobiliari Lecce,Servizio di amministrazione immobiliare,http://www.studiocityhome.it/,0832 390500,"Via dei Palumbo, 55",Lecce,,amministrazioniurso@gmail.com,http,Basekit,No,Aruba S.p.A.,48,68,100.00,Sì,No
Studio Ilaria Taurino- amministrazioni condominiali,Servizio di amministrazione immobiliare,,0832 453550,"Via Cosimo di Palma, 16",Lecce,,,,,,,,,,,
Domogest,Servizio di amministrazione immobiliare,,0832 311600,"Via Giuseppe Zanardelli, 105",Lecce,,,,,,,,,,,
Grimaldi Maria Grazia,Agente immobiliare,http://www.immobiliaregmg.com/,347 955 2127,"Via Cesare Battisti, 75",Andrano,,info@immobiliaregmg.com,http,ASP.NET,No,Genesys Informatica S.r.l,56,55,92.00,Sì,No
Comune di Andrano,Municipio,,0836 929222,"Via Michelangelo, 25",Andrano,,,,,,,,,,,
I.Gest Amministrazioni Condominiali I.Gest Srl,Servizio di amministrazione immobiliare,http://www.igestsrl.it/,0832 231751,"Via Braccio Martello, 2",Lecce,,amministrazione@igestsrl.it,https,WordPress,No,Aruba S.p.A.,56,82,92.00,Sì,No
Amministrazioni condominiali Lecce Capone Micelli,Studio legale,https://www.condominilecce.it/,349 729 6761,"Viale Michele de Pietro, 23",Lecce,,mcmicelli@libero.it,https,WordPress,No,Aruba S.p.A.,69,78,100.00,Sì,No
Studio Monticchio & Micolani,Servizio di amministrazione immobiliare,http://www.monticchioemicolani.com/,0832 311967,"Via del Mare, 7/A",Lecce,,studiomonticchio@legalmail.it,https,React,No,Google LLC,66,92,100.00,Sì,No
TABACCHERIA MEME,Tabaccheria,,0832 326400,"Via Indennitate, 2",Arnesano,,,,,,,,,,,
Studio Associato Amministrazioni Condominiali,Servizio di amministrazione immobiliare,,0832 521270,"Via G.Argento, 15",Lecce,,,,,,,,,,,
Comune di Arnesano,Municipio,,0832 323813,"Via de Amicis, 20",Arnesano,,,,,,,,,,,
Gestione E Servizi Di Marzo Luciano & C. S.A.S.,Servizio di amministrazione immobiliare,,0832 228430,"Viale Giuseppe Grassi, 6",Lecce,,,,,,,,,,,
Alisso Immobiliare,Agenzia immobiliare,https://www.alissoimmobiliare.com/,349 455 4075,"Via Provinciale, 90",Andrano,,alissoimmobiliare@gmail.com,https,WordPress,Sì,Google LLC,56,64,0.00,Sì,No
Avv.De Giovanni Antonio-ANACI Sede Provinciale,Servizio di amministrazione immobiliare,,0832 242861,"Via Frà Nicolò da Lequile, 1",Lecce,,,,,,,,,,,
Studio Caputo Antonio,Servizio di amministrazione immobiliare,http://www.studiocaputoantonio.it/,389 809 1932,"Viale della libertà, 47",Lecce,,info@studiocaputoantonio.it,https,ASP.NET,No,Aruba S.p.A. Network,56,80,82.00,Sì,No
Studio amministrazione condominiale Schiavone Antonio,Servizio di amministrazione immobiliare,,327 994 2167,"Vico Trevisiano, 19",Campi Salentina,,,,,,,,,,,
Municipio Comune di Bagnolo,Municipio,,0836 318005,"Via Rosario Mancini, 4",Bagnolo del Salento,,,,,,,,,,,
Studio Immorlano Amministrazioni Condominiali,Servizio di amministrazione immobiliare,https://www.studioimmorlano.it/,327 927 0071,"Via Papa Giovanni Paolo I, 57",Squinzano,,amm.reimmorlano@gmail.com,https,WordPress,Sì,Aruba S.p.A.,68,95,92.00,Sì,No
Studio Quarta Immobiliare,Agenzia immobiliare,https://www.quartaimmobiliare.com/,320 692 3574,"Via Donatello, S/N",Arnesano,,angeloquarta@libero.it,https,Basekit,No,Aruba S.p.A.,62,64,92.00,Sì,No
Amministrazioni Condominiali Andrea Baldacci,Servizio di amministrazione immobiliare,,320 968 5236,"Viale della Cavalleria, 4",Lecce,,,,,,,,,,,
Studio Barletta,Servizio di amministrazione immobiliare,,0832 392630,"Via Bartolomeo Ravenna, 2",Lecce,,,,,,,,,,,
Studio Riccardo di Dott.ssa Maria Grazia Riccardo,Commercialista,http://www.studioriccardo.it/,333 753 9425,"Via Vittorio Veneto, 81",Maglie,,fernando.stifani@gmaill.com,http,ASP.NET,No,Aruba S.p.A. Network,69,94,92.00,Sì,No
Studio Amministrazioni Condominiali | Salvatore Camposeo,Servizio di amministrazione immobiliare,,0832 934 2440,"Via Oronzo Quarta, 4",Copertino,,,,,,,,,,,
Amministrazioni Ingrosso,Servizio di amministrazione immobiliare,https://www.amministraingrosso.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8977685503374475378,348 228 9616,"Via Clemente Antonaci, 4",Lecce,,amministrazioni.ingrosso@gmail.com,https,React,No,Google LLC,62,57,100.00,Sì,No
Studio cardiologico De Iaco,Studio medico,,391 767 8165,"Via Nardini, 1",Alliste,,,,,,,,,,,
De Ceglie Geom. Francesco,Servizio di amministrazione immobiliare,,0833 276304,"Via Arene, 1B",Gallipoli,,,,,,,,,,,
Porta D'oro - Agenzia Immobiliare,Agenzia immobiliare,https://portadoroimmobiliare.blogspot.com/2025/02/porta-doro-agenzia-immobiliare-la-tua.html,379 292 3574,"Via F. Quarta, Via Felline, snc",Racale,,portadoro2024@gmail.com,https,React,No,Google LLC,87,99,85.00,Sì,No
Amministrazioni Rizzardo-Il tuo Condominio Trasparente,Servizio di amministrazione immobiliare,https://www.studiorizzardo.it/,327 363 1598,"Via Osvaldo Cantore, 26",Grottaglie,,info@studiorizzardo.it,https,Joomla,Sì,IT.Gate S.p.A.,56,78,100.00,Sì,No
Studio Vitale Attanasio,Servizio di amministrazione immobiliare,,347 695 9788,"Piazza Anna Frank, n. 4",Manduria,,,,,,,,,,,
Studio Zito,Servizio di amministrazione immobiliare,,099 981 2105,"Via Per Uggiano, 2",Manduria,,,,,,,,,,,
