Nome Attività,Email,Categoria,Comune,Sito Web,Protocollo,Tecnologia,Cookie Banner,Hosting Provider,Mobile Performance,Desktop Performance,Punteggio SEO,Disponibilità Sito,Stato Manutenzione
GEOMETRA DE TROIA COSIMO E GIOVANNI,filippoaprileuni@gmail.com,Geometra,Lucera,http://www.ricomsrl.com,http,React,No,Aruba S.p.A,88,99,91.00,Sì,No
GEOMETRA DE TROIA COSIMO E GIOVANNI,info@ricomsrl.com,Geometra,Lucera,http://www.ricomsrl.com,http,React,No,Aruba S.p.A,88,99,91.00,Sì,No
Studio Tecnico Ingegnere Geometra Lotito,studiotecnico@ingegnerelotito.it,Geometra,Venosa,http://www.ingegnerelotito.it,http,Basekit,No,Aruba S.p.A.,57,51,92.00,Sì,No
PezzanoGroup s.r.l.s.,info@pezzanocostruzioni.it,Impresa di costruzioni,Castelluccio dei Sauri,http://www.pezzanocostruzioni.it,http,Webnode,No,Amazon Technologies Inc.,60,82,100.00,Sì,No
Md Studio tecnico topografico - rilievi con drone - di M. de Angelis,geomdeangelis.mi@gmail.com,Geometra,Bovino,https://www.mdstudiotopografico.it,https,WordPress,No,Aruba S.p.A.,64,72,92.00,Sì,No
GEOMETRA Vincenzo Di furia,info@geometradifuria.it,Geometra,Ariano Irpino,https://geometradifuria.it,https,Contiki CMS,Sì,Aruba S.p.A.,57,80,100.00,Sì,No
Geometra Marino Giuseppe,geom.marinogiuseppe@gmail.com,Geometra,Bitonto,https://geomgiuseppemarino.wixsite.com/geometra-marino-gius,https,React,No,Google LLC,68,91,92.00,Sì,No
Studio Tecnico geometra Francesco TOZZI,info@studiotecnicotozzifrancesco.it,Geometra,Foggia,http://studiotecnicotozzifrancesco.it,http,WordPress,Sì,Aruba S.p.A.,62,84,100.00,Sì,No
Studio Tecnico Di Rocco Geom. Solimena,info@roccosolimena.com,Geometra,Campomarino,http://www.roccosolimena.com,http,WordPress,No,Aruba S.p.A.,50,62,92.00,Sì,No
Studio Tambone,m.parisi@studiotambone.com,Geometra,Bari,http://www.studiotambone.com,http,Site123,No,"Amazon.com, Inc.",65,90,85.00,Sì,No
Geometra COCCIA Guido Giuseppe,studio-coccia@libero.it,Geometra,Cagnano Varano,http://www.studio-coccia.geometra.it,http,ASP.NET,No,Aruba S.p.A. Network,92,95,83.00,Sì,No
Studio Accogli Srl,info@studioaccogli.com,Geometra,Bari,http://www.studioaccogli.com,http,React,No,Telecom Italia S.p.A.,49,83,83.00,Sì,No
Studio Tecnico Geometra Giovanni Campanella,geom.campanella@live.it,Geometra,Bari,https://www.espertitalia.it/esperto/studio-tecnico-geometra-giovanni-campanella,https,React,Sì,Server Plan S.r.l.,54,60,92.00,Sì,No
Studio Tecnico Sanzone,info@studiotecnicosanzone.it,Geometra,Cagnano Varano,https://www.studiotecnicosanzone.it,https,WordPress,No,Netsons s.r.l.,56,92,85.00,Sì,No
Studio tecnico Motta,segreteria@studiotecnicomotta.net,Geometra,Lugagnano,https://www.studiotecnicomotta.net,https,React,No,Aruba S.p.A.,62,80,92.00,Sì,No
Studio Tecnico Giannini,info@studiotecnicogiannini.it,Geometra,Foggia,http://studiotecnicogiannini.it,http,React,Sì,Aruba S.p.A. Network,59,85,85.00,Sì,No
